,A_all_soldiers_coef,B_all_soldiers_coef,C_all_soldiers_coef,DRB1_all_soldiers_coef,DQB1_all_soldiers_coef,A_all_soldiers_pvalue,B_all_soldiers_pvalue,C_all_soldiers_pvalue,DRB1_all_soldiers_pvalue,DQB1_all_soldiers_pvalue,A_ashkenazim_coef,B_ashkenazim_coef,C_ashkenazim_coef,DRB1_ashkenazim_coef,DQB1_ashkenazim_coef,A_ashkenazim_pvalue,B_ashkenazim_pvalue,C_ashkenazim_pvalue,DRB1_ashkenazim_pvalue,DQB1_ashkenazim_pvalue
A,-0.07923667906482657,,,,,0.0001555908939027466,,,,,-0.106297480977996,,,,,0.0005580298202540033,,,,
A_inter_BMI,0.185753129600911,,,,,1.492437348021409e-05,,,,,0.1717445512555989,,,,,0.006725513997163696,,,,
Age_BMI,0.188200026974278,0.1881968453369186,0.1881677654578642,0.1881898517342993,0.1881987944274014,0.0,0.0,0.0,0.0,0.0,0.1705403088866197,0.170487040798501,0.1704461078432609,0.1704649610394693,0.1705568039654902,1.257999895835003e-137,1.65335386989827e-137,1.817492757866408e-137,1.735658839409419e-137,1.308865233201159e-137
B,,-0.100183724503987,,,,,0.0001186756205196058,,,,,-0.1440029609826596,,,,,0.0001879073926845918,,,
B_inter_BMI,,0.1492469571398589,,,,,0.006608547724344469,,,,,0.1529490282271957,,,,,0.05965750816914185,,,
Birth_year,-0.08394375733137074,-0.08400357522757004,-0.08395378810559426,-0.08458342830110999,-0.08404217899065951,3.64393912296963e-59,3.10576614322201e-59,3.488409683065386e-59,5.532146675611242e-60,2.851419109770506e-59,-0.07752971626791998,-0.07784793936687338,-0.07742988417589258,-0.07772046015996267,-0.07733359179636184,2.080904096299812e-24,1.397781335466663e-24,2.365819319790316e-24,1.628331996245888e-24,2.667929243399437e-24
C,,,-0.08436566827893636,,,,,9.320978113119008e-06,,,,,-0.07741243659870263,,,,,0.005253658813402989,,
C_inter_BMI,,,0.1266279774364946,,,,,0.001392507159856151,,,,,0.1177148949019537,,,,,0.0418621620846434,,
DQB1,,,,,-0.02815708200880686,,,,,0.06988006311121059,,,,,-0.03198325050450617,,,,,0.1647704932757047
DQB1_inter_BMI,,,,,0.1784555825346715,,,,,5.764407405128382e-09,,,,,0.2181100284035751,,,,,1.243856295239102e-06
DRB1,,,,-0.1329208583799337,,,,,5.055597928006374e-10,,,,,-0.135856983102126,,,,,1.98466045135573e-05,
DRB1_inter_BMI,,,,0.2278571512050136,,,,,1.140705713373424e-07,,,,,0.2228709115620896,,,,,0.0005128407212969267,
Educ_GE11YN,0.02787022484568896,0.02787789036521099,0.02786870261397666,0.0278533029536876,0.02789135552718959,1.060189967117385e-07,1.051153266924234e-07,1.062378282723326e-07,1.080201055110855e-07,1.037958840479793e-07,0.02594704531627918,0.02587686391905696,0.02590870482339328,0.02599801920044718,0.02598394068608027,0.0006951016861801749,0.0007169469219594602,0.0007072902938614145,0.0006772259671013616,0.0006819491785049704
Eshkol_3gr,0.1110047234383015,0.1110198671808577,0.1111183947414101,0.1111329271997183,0.1113979451057423,1.037893205676138e-102,9.564837759907674e-103,6.397546278765806e-103,6.266755553769198e-103,2.095455184379507e-103,0.1296828394879531,0.1297380373353667,0.1298412625491663,0.1298401942558442,0.1303701146825776,7.842798462381099e-66,6.759697671148153e-66,5.355227313166504e-66,5.587038046214674e-66,1.745685930284606e-66
Israeli,0.4081880973538198,0.4089388292415822,0.4088029573254273,0.4093424542927178,0.4080433111137198,3.600556750591046e-113,1.382203955156248e-113,1.629614891244979e-113,8.707814158114204e-114,4.618578958872992e-113,0.2601672542477738,0.2621435824166204,0.2618838034148678,0.2617001961372993,0.2603998738218525,6.341196068761865e-24,2.916148995345122e-24,3.212628072066344e-24,3.47538198664995e-24,5.802972579111125e-24
MIN,-0.3871745576752684,-0.3874610071025469,-0.3873615144941043,-0.3871310385068052,-0.3868330093111162,2.672225732971845e-276,1.027942439981497e-276,1.498032514642884e-276,3.144861884953361e-276,8.501035835765992e-276,-0.4136066756320699,-0.4138909183012239,-0.4137489345909158,-0.4136473330896508,-0.413127529743037,1.270894273080177e-146,7.913435670183716e-147,1.037928571265899e-146,1.178556545164356e-146,2.76354572208511e-146
const,-2.393388159292186,-2.393358268037793,-2.391063925848168,-2.391005317529277,-2.398677467127813,0.0,0.0,0.0,0.0,0.0,-2.273960229788894,-2.275345731905408,-2.275687357244299,-2.274207139667053,-2.283088287217475,0.0,0.0,0.0,0.0,0.0
dapar_3gr,0.06114683054831375,0.06098026751547778,0.06106959287462038,0.06107195961352911,0.06145848703977425,5.512662819478911e-32,8.016485059581162e-32,6.608558689393317e-32,6.604288470349521e-32,2.743409110240735e-32,0.05142763709333314,0.05152755897086679,0.05156676145135868,0.05146341777871408,0.05209302260229157,1.167835736002615e-11,1.065988834249066e-11,1.030674360547476e-11,1.132343756612587e-11,6.375549107911507e-12
