,BW4_all_soldiers_coef,BW6_all_soldiers_coef,C1_all_soldiers_coef,BW4_all_soldiers_pvalue,BW6_all_soldiers_pvalue,C1_all_soldiers_pvalue,BW4_ashkenazim_coef,BW6_ashkenazim_coef,C1_ashkenazim_coef,BW4_ashkenazim_pvalue,BW6_ashkenazim_pvalue,C1_ashkenazim_pvalue
Age_BMI,0.1883064733200549,0.1885197253211894,0.1883253828679584,0.0,0.0,0.0,0.1705584192769837,0.1707658739221123,0.170548764597789,1.475742885911541e-137,7.081978095594198e-138,1.498738971207206e-137
BW4,0.0217945225846434,,,0.0005349764564640943,,,0.01249174203110067,,,0.1782331638836215,,
BW4_inter_BMI,0.09650983029385078,,,8.018052235867635e-35,,,0.1030515009675844,,,8.690654381974246e-19,,
BW6,,-0.06170530625887773,,,2.413335991661201e-15,,,-0.04970464476408627,,,1.31430522502549e-05,
BW6_inter_BMI,,0.1398120696013416,,,4.97290367153043e-45,,,0.1402603008117167,,,1.021270431837918e-22,
Birth_year,-0.08541670870533266,-0.08566128350514661,-0.08595167652597412,4.186220132369996e-61,1.973316845179074e-61,7.782531415279618e-62,-0.08004729793462649,-0.07945918071704386,-0.07933239822591964,7.381980950871086e-26,1.60016215976576e-25,1.939599451013589e-25
C1,,,-0.03755103415156003,,,2.220444879098202e-06,,,-0.03520966043774438,,,0.002456137999745177
C1_inter_BMI,,,0.1369701487473582,,,2.731919452404654e-42,,,0.1419463747605267,,,2.920497465355563e-22
Educ_GE11YN,0.0279132370409343,0.02800291636280724,0.02806277766014927,1.013922111462671e-07,9.255799809725374e-08,8.732759854806476e-08,0.02599944683114157,0.02613875232854444,0.02618135838673429,0.0006806197186635826,0.0006375962064788997,0.0006251548628058677
Eshkol_3gr,0.1127231788481958,0.1129641205362773,0.1128589985047835,1.043546016709502e-105,3.817673497953445e-106,5.896709373072172e-106,0.1317441015483729,0.1319864053005516,0.1320348854757533,9.017251607558553e-68,5.375875194564537e-68,4.65196073015947e-68
Israeli,0.4021167981129194,0.4033376896369807,0.4041229790010155,8.568024610280339e-110,1.811998021081954e-110,7.446812688625763e-111,0.2583104889598448,0.2581321654052685,0.2588559094667166,1.345615967425711e-23,1.458228421901532e-23,1.130522273804459e-23
MIN,-0.3836273608634769,-0.3833713453890783,-0.3834825733708352,4.775413319185054e-271,1.081105128989565e-270,7.306818003462464e-271,-0.4093747854605879,-0.4094621316645706,-0.4092879030237608,1.6278020973958e-143,1.339492665694487e-143,1.795451484577006e-143
const,-2.451477040052574,-2.365531683665231,-2.38954690436207,0.0,0.0,0.0,-2.328143892700694,-2.263408588683418,-2.279273166895505,0.0,0.0,0.0
dapar_3gr,0.06403615304088235,0.06445391926729103,0.06374274948935597,7.618386277733744e-35,2.868241250047053e-35,1.519121846227693e-34,0.05482759008608956,0.0550267885421386,0.05469974350968827,5.047403200162103e-13,4.177898755175583e-13,5.705653285300526e-13
