,1_A_all_pvalues,2_A_all_pvalues,1_B_all_pvalues,2_B_all_pvalues,1_C_all_pvalues,2_C_all_pvalues,1_DRB1_all_pvalues,2_DRB1_all_pvalues,1_DQB1_all_pvalues,2_DQB1_all_pvalues,1_A_ashkenazim_pvalues,2_A_ashkenazim_pvalues,1_B_ashkenazim_pvalues,2_B_ashkenazim_pvalues,1_C_ashkenazim_pvalues,2_C_ashkenazim_pvalues,1_DRB1_ashkenazim_pvalues,2_DRB1_ashkenazim_pvalues,1_DQB1_ashkenazim_pvalues,2_DQB1_ashkenazim_pvalues
const,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,1.844015530771662e-236,2.487031680981686e-65,1.526330409346344e-236,2.355890355798936e-65,1.314967655216473e-236,2.224582702141154e-65,1.419061009791155e-236,2.257126852625324e-65,1.828733973826057e-236,2.481476235026533e-65,4.88860596192194e-124,8.589328087392053e-32,4.433039278986042e-124,8.49648399023804e-32,4.33720475802279e-124,8.673420446889432e-32,4.209276220126037e-124,8.339374097780949e-32,5.143219337992352e-124,8.751598444613043e-32
Age_BMI,7.085211953466838e-113,3.84106201570147e-11,6.291751246198795e-113,3.714770292570834e-11,7.142098455447777e-113,3.805399858407491e-11,5.944242437687624e-113,3.694904685546867e-11,6.660651198165869e-113,3.743241109424973e-11,8.719167457863792e-49,3.188815773265484e-07,7.580439087126293e-49,3.115650580915628e-07,8.988874580275114e-49,3.176044826986647e-07,8.880966847793289e-49,3.214023895976858e-07,8.720270044620233e-49,3.171642029901598e-07
Birth_year,5.578711910562649e-05,0.388357658469738,5.673290337992174e-05,0.3917316267104802,5.68247121139338e-05,0.3914265264661292,5.539899708885987e-05,0.3889193971920585,5.665098467667899e-05,0.3916904749517159,0.05731756624559355,0.4746765976515196,0.05801723826045181,0.4789133290048446,0.05718626966661788,0.4779784595003113,0.05691083047283136,0.4756134817165422,0.05786484300821448,0.4782126638205954
Year_BMI,0.02011052235286766,0.2345909854230005,0.0204906952107022,0.2369942948711066,0.02040200833107883,0.2365532758575347,0.02047518293301485,0.2368593106415395,0.02020357124873599,0.2357840897289885,0.3861681450274349,0.5223713585661081,0.3919846311616887,0.5267716419943539,0.3863645400168705,0.5232726732282247,0.3863316814170257,0.5226843593643868,0.3864260393645238,0.5232203750436082
dapar_3gr,1.698245860245081e-11,2.678180061305065e-33,1.632252443628728e-11,2.472755416742784e-33,1.596417701366383e-11,2.405257650337422e-33,2.097822021483411e-11,3.345462115539909e-33,1.646908655761902e-11,2.439984381484192e-33,1.262572401081309e-05,1.99993296956799e-10,1.107467138188262e-05,1.712807951492742e-10,1.099897187554871e-05,1.798129126717329e-10,1.340629406025594e-05,1.968793452913624e-10,1.184009339018869e-05,1.82812152919866e-10
Educ_GE11YN,0.0001698438640995606,0.001899899041790203,0.0001720506036457836,0.001911937473936294,0.0001723248381501426,0.001915581797919173,0.000171204802010683,0.001906672126456104,0.0001702085407081539,0.001899352288920092,0.002551669184509934,0.00407725959658267,0.002560454112608335,0.004024751672681708,0.002525172731921622,0.003984176064526107,0.002494081422258322,0.003975546761409206,0.002504834890370827,0.003979640051872089
Eshkol_3gr,1.146999831664009e-96,3.732481082227451e-46,9.362238876165456e-97,2.931533682031565e-46,8.02339475368907e-97,2.780470959678612e-46,1.240038439678299e-96,3.384339064565318e-46,8.645313250998718e-97,2.947396633484572e-46,4.915221085633998e-57,2.656222944040856e-24,4.125953960076061e-57,2.160615661298134e-24,4.006695459306605e-57,2.126545412521776e-24,5.218673644814348e-57,2.353073193811626e-24,3.750486744548683e-57,2.128531015836629e-24
Israeli,8.235032507154653e-122,1.382224077442774e-07,4.688865313174579e-122,1.185329694980591e-07,5.445108272175807e-122,1.196638468259195e-07,1.915137399255029e-122,1.019750732454925e-07,6.116155524656223e-122,1.264010472231063e-07,1.553459381804752e-26,0.01937140151196547,8.53978875099334e-27,0.01702114784514303,9.005113758783649e-27,0.01764043796039399,8.631455692219866e-27,0.01708147703191724,1.294124724832346e-26,0.01776010617481437
Homozygous,0.1011901881776858,0.02916606997702729,0.0080299713970185,0.2136199182681261,0.000605181646410454,0.05099924808317759,3.280544428261377e-05,0.002873000788423004,0.9479568663446084,0.6516103703380194,0.0766534941584369,0.01685272287156326,0.002933768480138397,0.1285016148901898,0.004599203519377516,0.7678375397825306,0.001151798654223422,0.08639685417912284,0.7064335502849277,0.967793159599751
