,1_A_all_pvalues,2_A_all_pvalues,1_B_all_pvalues,2_B_all_pvalues,1_C_all_pvalues,2_C_all_pvalues,1_DRB1_all_pvalues,2_DRB1_all_pvalues,1_DQB1_all_pvalues,2_DQB1_all_pvalues,1_A_ashkenazim_pvalues,2_A_ashkenazim_pvalues,1_B_ashkenazim_pvalues,2_B_ashkenazim_pvalues,1_C_ashkenazim_pvalues,2_C_ashkenazim_pvalues,1_DRB1_ashkenazim_pvalues,2_DRB1_ashkenazim_pvalues,1_DQB1_ashkenazim_pvalues,2_DQB1_ashkenazim_pvalues
const,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.0,8.725860435095309e-60,0.0,9.793471574501507e-60,0.0,1.086529762486539e-59,0.0,1.009078728044826e-59,0.0,8.768890841527955e-60,0.0,6.621849122753496e-15,0.0,6.869973916153307e-15,0.0,7.014879235329988e-15,0.0,7.031981907004609e-15,0.0,6.554245523594008e-15
Age_BMI,9.409438170840151e-66,6.474335308602631e-59,8.722560174837894e-66,5.811426398296862e-59,9.006610141185743e-66,6.41176531931112e-59,8.230377443866531e-66,5.922962699370695e-59,8.89486838824352e-66,6.271934003025147e-59,7.301279284112243e-36,7.058871945803047e-22,6.561795140198432e-36,6.520851502273327e-22,6.93214463110533e-36,7.057795812526931e-22,7.128799350835751e-36,7.206299438408906e-22,7.063147795382375e-36,7.091639351748621e-22
Birth_year,0.001195360475116939,0.00847510107200864,0.001212840208107733,0.008634449920970578,0.001212774669341165,0.008647226059800702,0.001202452187360487,0.008385104604234984,0.00121496737617142,0.008547944489537912,0.5240058391112019,0.02561467966464254,0.528858883287763,0.02597609258419546,0.5295941221634357,0.02545648515970065,0.526840614213856,0.02526346222941601,0.5298414721247748,0.02570731220023643
Year_BMI,0.01770040473713329,0.1481906944054232,0.01788135882978694,0.1511905913111271,0.01785300220984637,0.1506686820088534,0.01799919017977366,0.1497330409520597,0.01780185940512347,0.1485329102986253,0.9275452215935996,0.1642880238549669,0.933803638981914,0.167833388787798,0.9302038858265523,0.1649464781607153,0.9295088942034385,0.1643530176283231,0.9301112102124287,0.1641838302390648
dapar_3gr,9.136042617634031e-20,7.221492655741603e-11,8.747549013283668e-20,6.904554319383535e-11,8.66759766368284e-20,6.717553043048503e-11,1.08970853968264e-19,8.861535425178138e-11,8.61740967977973e-20,7.038165206119233e-11,9.173713491709053e-07,7.581910841007888e-06,7.918475689987776e-07,6.833077648830405e-06,8.38282074798693e-07,6.542775275146023e-06,9.005044488531052e-07,8.26762783633225e-06,8.276955704609698e-07,7.366047751510954e-06
Educ_GE11YN,4.080085732739697e-05,0.01770967276166769,4.110570529199522e-05,0.0178605885276649,4.111775507778554e-05,0.01788856967366292,4.107669172827869e-05,0.01780743580875573,4.091234732277466e-05,0.01771900502355903,0.0003372291053222518,0.05884504485906934,0.0003324437612948038,0.05918987626894726,0.0003263047268492287,0.05893269401305805,0.0003260131970224166,0.05817392479308463,0.0003261799369703598,0.05843505354279779
Eshkol_3gr,1.126502786826421e-92,1.779914381230066e-51,8.34993204673924e-93,1.554285137710254e-51,8.006014372640305e-93,1.331247262140318e-51,1.033351136804397e-92,1.902370270885972e-51,8.330009399058365e-93,1.474922331527915e-51,6.720421502029841e-62,3.180536838906165e-24,4.446931264169149e-62,3.022956633322805e-24,4.042870308594158e-62,2.949253174388339e-24,4.984816158996905e-62,3.560175911613851e-24,4.065207608469588e-62,2.946403425889839e-24
Israeli,3.560803824737222e-52,1.412204633205306e-76,2.66620729206124e-52,8.475210278036327e-77,2.754766441652606e-52,9.391488508244227e-77,1.799641628992174e-52,4.07734353132057e-77,3.225586205690194e-52,1.018185443372352e-76,1.596248464643111e-06,8.7233519279107e-25,1.187014308917987e-06,5.727137156322831e-25,1.323562138309812e-06,5.164414698457181e-25,1.233229157683332e-06,5.348914255813773e-25,1.371534029630375e-06,7.8243940328569e-25
Homozygous,0.0880434526638795,0.09685433450426442,0.427031829198592,0.000940681278048372,0.2994941579011747,8.044208362400685e-06,0.008767127362752182,9.19722546449201e-06,0.6650110739207902,0.9380855605597742,0.004208248683383806,0.3727169159340082,0.04442152569348065,0.006690126401291245,0.9554667572263954,0.0002430813721362638,0.08551523539411114,0.0005680966145353677,0.6863890412390449,0.9463497044737923
