,1_A_all_fat_coefs,2_A_all_fat_coefs,1_B_all_fat_coefs,2_B_all_fat_coefs,1_C_all_fat_coefs,2_C_all_fat_coefs,1_DRB1_all_fat_coefs,2_DRB1_all_fat_coefs,1_DQB1_all_fat_coefs,2_DQB1_all_fat_coefs,1_A_ashkenazim_fat_coefs,2_A_ashkenazim_fat_coefs,1_B_ashkenazim_fat_coefs,2_B_ashkenazim_fat_coefs,1_C_ashkenazim_fat_coefs,2_C_ashkenazim_fat_coefs,1_DRB1_ashkenazim_fat_coefs,2_DRB1_ashkenazim_fat_coefs,1_DQB1_ashkenazim_fat_coefs,2_DQB1_ashkenazim_fat_coefs,1_A_all_skinny_coefs,2_A_all_skinny_coefs,1_B_all_skinny_coefs,2_B_all_skinny_coefs,1_C_all_skinny_coefs,2_C_all_skinny_coefs,1_DRB1_all_skinny_coefs,2_DRB1_all_skinny_coefs,1_DQB1_all_skinny_coefs,2_DQB1_all_skinny_coefs,1_A_ashkenazim_skinny_coefs,2_A_ashkenazim_skinny_coefs,1_B_ashkenazim_skinny_coefs,2_B_ashkenazim_skinny_coefs,1_C_ashkenazim_skinny_coefs,2_C_ashkenazim_skinny_coefs,1_DRB1_ashkenazim_skinny_coefs,2_DRB1_ashkenazim_skinny_coefs,1_DQB1_ashkenazim_skinny_coefs,2_DQB1_ashkenazim_skinny_coefs
const,-2.54869093507664,-3.863710951645715,-2.546506971316941,-3.875074666883493,-2.540205328791261,-3.870975379089663,-2.546602757582712,-3.876343898830443,-2.548827144840738,-3.88130411109315,-2.429355254760002,-3.800741996389153,-2.430756528911712,-3.803616606969545,-2.422002530256643,-3.806751630973938,-2.431553435246649,-3.807115035304169,-2.436912233661789,-3.828172496917758,-2.632984888582701,-3.986561469164511,-2.63323194405885,-3.989809359198009,-2.63116977173375,-3.985347236071109,-2.62962237309251,-3.981460712840301,-2.636917519380349,-3.995044143811215,-2.529417399214414,-3.884866513405242,-2.52916859777894,-3.894597300519328,-2.528744556129852,-3.89877296806114,-2.526052260900461,-3.889961775703541,-2.535192755025068,-3.89409524315679
MIN,-0.2337973488025922,-0.3597598140664372,-0.2338631755144147,-0.359735911958269,-0.2339084171172635,-0.3597802683912352,-0.2338852465245571,-0.3597244456596766,-0.2337721561831906,-0.3597048357631272,-0.2785886100851347,-0.3688271770593014,-0.2785412660699071,-0.3687553597753835,-0.2789590438722205,-0.368681975077241,-0.2783824329107956,-0.3687201343338383,-0.278349815754364,-0.3691809860168054,-0.3969148698850433,-0.4321120699494937,-0.3969813536298767,-0.4322139823871093,-0.3970204271271819,-0.432301551834557,-0.3970011265565721,-0.4322659350876322,-0.3969180893760125,-0.4321307440701061,-0.4200615242283254,-0.4156457812701995,-0.4201474720259517,-0.4157675513497053,-0.4201140381503036,-0.4156857487293433,-0.4202206590483626,-0.4158789510162399,-0.4200332309209355,-0.4157438000846286
Age_BMI,0.1954128665816862,0.155638713264536,0.1954597344601078,0.1556200611747537,0.1952349974999236,0.1554918076928343,0.1954362194285139,0.1556112599117641,0.1954178975285647,0.155544752740991,0.1885385535500491,0.1416377341096041,0.1887587970308394,0.1416790122581413,0.1882456684907091,0.1416804750829133,0.1885057614726434,0.1416495691097302,0.1885084327362715,0.141837333400695,0.1826202626038887,0.1153608618089455,0.1826722673325233,0.1154586340389047,0.1826509097567363,0.1154083899645636,0.1826810760660006,0.1154243852613375,0.1826549759694008,0.1154484299139864,0.1663035491093121,0.1232003072079876,0.1663907391039445,0.123297498600717,0.1662930078678231,0.1231867819641277,0.1662698958004115,0.1230871068741334,0.1662857386455089,0.1232545956580934
Birth_year,-0.3083739189131491,0.1954010482740712,-0.3079451485331998,0.1953835061012083,-0.3094059900751565,0.1945596854482032,-0.3088686846205466,0.1950887428840931,-0.3084800910447981,0.1951916793025918,-0.2102251021820212,-0.01090414509499825,-0.2093619915085842,-0.0105395318818732,-0.2137663308468946,-0.0102786764043787,-0.2111024768290952,-0.01034651166401175,-0.209937995772721,-0.007780984611430408,-0.2656616381498217,-0.2212380646564346,-0.2653743446913402,-0.2203694273480447,-0.2651832109390058,-0.2202414823397595,-0.2657333001359031,-0.2213636530735629,-0.2652836795405614,-0.2203054353935919,-0.1856407466011676,-0.1934793160147728,-0.1851777175964711,-0.1917245047009535,-0.1854182874773803,-0.1920401848651312,-0.185878774377235,-0.1931586221216177,-0.1853003735449613,-0.1922342604453123
Year_BMI,0.1810786355299863,-0.1654327226562989,0.1801875434025405,-0.1651726271683343,0.1817303026343545,-0.1643233317032439,0.1811661245243817,-0.1647116499533975,0.181189119227576,-0.1645103093392365,0.0952322673856849,-0.05167076475706206,0.09372463749080774,-0.05196235267364852,0.098476498966128,-0.05188343001530693,0.09614515924873968,-0.05171388114737412,0.09560062409963165,-0.05376756579369167,0.1397010881733389,0.2639355362715218,0.1392783137695768,0.2630076202432077,0.139218960485416,0.2629842155033904,0.139159259222325,0.2630286328516009,0.1395040010221301,0.2633723173108128,0.0725036989403691,0.1803716591024827,0.07160430953614746,0.1786483394753608,0.07223688200727364,0.1798769334103163,0.07231209606219495,0.1801424476919893,0.07249412194547954,0.1800076068700961
dapar_3gr,0.03955558142242851,0.143493859779517,0.03958749127278473,0.1438233372868345,0.03968831723138952,0.1438971570480211,0.03935958592145232,0.1437553321461422,0.03956670114834935,0.143883371055504,0.03275340243150814,0.1280291113460635,0.033122329783377,0.1281314628458766,0.03328235051173031,0.1280358017430776,0.03268977369045217,0.1281279163433729,0.03284990927794504,0.1284644112075716,0.04778926209732392,0.1489508251535629,0.04781737935219988,0.1490090545831326,0.04782432535857632,0.1490300047198955,0.04763250574707382,0.148694694070914,0.04781431857107785,0.1490018297066921,0.04420112724740428,0.1051195294126206,0.04439156945523415,0.105587389970383,0.04436793040187639,0.1054406255231785,0.04407609488434183,0.1051305033106712,0.04430744176763744,0.1052640590038793
Educ_GE11YN,0.006718626507498164,0.05530696923745013,0.006662116600476392,0.05523493490263164,0.006715320901191411,0.05525378052196646,0.006688950230308713,0.0552562283251186,0.006718119368843843,0.05527039314104242,0.004090308681012284,0.06647111378655197,0.004165825757160303,0.0665172731814654,0.004271329999317891,0.06653024730277333,0.004142270836717755,0.0665477689090379,0.004194589270028267,0.06639167688479813,0.03159585700479389,0.04761258966552865,0.0316002333444285,0.04762729525466889,0.03158780693788844,0.04760491434097686,0.03158050126372196,0.04759294540458167,0.03159959515509597,0.04764068963891977,0.03010198684958068,0.05059482012055772,0.03007674548232116,0.05061078200133386,0.03009850537701377,0.05069310990622409,0.03015640550760748,0.05073776741095992,0.03012686297927502,0.05071625690826957
Eshkol_3gr,0.09000326616380759,0.1561296707033793,0.08997554987899967,0.1563216853566162,0.09009232674148768,0.1563883308096863,0.0899600570475097,0.1563272406654926,0.09003354508265209,0.1563782356822629,0.1256202574054608,0.1738496289568489,0.1257254976941778,0.1739462799786967,0.1258275747105034,0.1739874810590762,0.1256786776762967,0.1740210927593116,0.1258457208285929,0.1745613893354972,0.1171813878408088,0.1671516826243265,0.1172461970653836,0.1673202109195464,0.1172685370384033,0.1673494192709415,0.1171809034064133,0.167210886271196,0.1172478411555682,0.1673026863465784,0.1292482756188945,0.168051721001409,0.1293242791404126,0.1684436346361456,0.1293251004642705,0.1684456312191089,0.1292187398428837,0.1682828068868178,0.1293402169271558,0.1684806879792679
Israeli,0.3182349653900098,0.09759817543219604,0.3189111167471183,0.09917570327955141,0.3185556699047635,0.09895109309862045,0.3193474044211206,0.09921833206333061,0.3189509107255036,0.09832346223707118,0.1857234736352698,0.0480420868766057,0.1885174571792538,0.04882676227118671,0.1878597039562667,0.0483544627685328,0.1877772221662798,0.04812280828309576,0.1866863327438819,0.04459690009318178,0.4625443173420012,0.2348639363927018,0.4629710618712475,0.2358072280569581,0.46288659188917,0.2357689130551962,0.4637324802284739,0.2370727209614348,0.4627399101489966,0.2354729252326841,0.3086067331145789,0.1493177916678701,0.3097837783805366,0.1524293270182518,0.3096191128849011,0.1517158591860444,0.3098446653059449,0.1523873083397036,0.3089064455547895,0.152217030169237
Homozygous,-0.02816274051147733,-0.1596623004752142,-0.09783594352775256,-0.05417865447663549,-0.110622559380023,-0.06614055891455156,-0.06340733931725726,-0.01928891634396432,-0.01824474531187611,0.02488526499562019,-0.09052817117600877,-0.04489309361056201,-0.1722851301543278,-0.03257641900413743,-0.1684211050940998,0.01600323211095683,-0.09270006208782124,0.02702360102876052,-0.007718663961955514,0.1606513928607984,-0.03295147809020833,-0.07604457032305946,-0.05263247912216575,-0.07062557885085449,-0.04622125077540967,-0.07950553663698841,-0.08559997602507528,-0.1647046314971523,0.006051884056863123,0.01024657828721055,-0.04086798026314276,-0.1782194762988235,-0.08688048780474569,-0.1360191840146465,-0.04823344697966805,-0.02330125946594675,-0.09705339154932777,-0.1488066582306975,0.01270572888052321,-0.04903092836510748
